CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.433594 1761678246.6782
MEM 32.441406 1761678246.7785
MEM 51.152344 1761678246.8787
MEM 69.304688 1761678246.9790
MEM 84.429688 1761678247.0792
MEM 92.023438 1761678247.1795
MEM 97.398438 1761678247.2798
MEM 102.066406 1761678247.3801
MEM 102.816406 1761678247.4805
MEM 106.066406 1761678247.5808
MEM 106.191406 1761678247.6811
MEM 106.316406 1761678247.7814
MEM 106.441406 1761678247.8816
MEM 106.441406 1761678247.9818
MEM 106.441406 1761678248.0820
MEM 106.441406 1761678248.1823
MEM 106.441406 1761678248.2825
MEM 106.441406 1761678248.3827
MEM 106.441406 1761678248.4830
MEM 106.566406 1761678248.5833
MEM 106.566406 1761678248.6835
MEM 106.566406 1761678248.7837
MEM 106.566406 1761678248.8840
MEM 106.566406 1761678248.9843
MEM 106.566406 1761678249.0846
MEM 106.566406 1761678249.1848
MEM 106.566406 1761678249.2851
MEM 106.566406 1761678249.3853
MEM 106.566406 1761678249.4856
MEM 106.566406 1761678249.5860
MEM 106.566406 1761678249.6863
MEM 106.566406 1761678249.7866
MEM 106.566406 1761678249.8869
MEM 106.566406 1761678249.9872
MEM 106.566406 1761678250.0875
MEM 106.566406 1761678250.1878
MEM 106.566406 1761678250.2881
MEM 106.566406 1761678250.3885
MEM 106.566406 1761678250.4888
MEM 106.566406 1761678250.5891
MEM 106.566406 1761678250.6894
MEM 106.566406 1761678250.7897
MEM 106.566406 1761678250.8900
MEM 106.566406 1761678250.9902
MEM 106.566406 1761678251.0904
MEM 106.566406 1761678251.1907
MEM 106.566406 1761678251.2910
MEM 106.566406 1761678251.3912
MEM 106.566406 1761678251.4915
MEM 106.566406 1761678251.5918
MEM 106.566406 1761678251.6920
MEM 106.566406 1761678251.7924
MEM 106.566406 1761678251.8927
MEM 106.566406 1761678251.9930
MEM 106.566406 1761678252.0932
MEM 106.566406 1761678252.1935
MEM 106.566406 1761678252.2938
MEM 106.566406 1761678252.3941
MEM 106.566406 1761678252.4944
MEM 106.566406 1761678252.5946
MEM 106.566406 1761678252.6948
MEM 106.566406 1761678252.7951
MEM 106.566406 1761678252.8953
MEM 106.566406 1761678252.9956
MEM 106.566406 1761678253.0958
MEM 106.566406 1761678253.1961
MEM 106.566406 1761678253.2964
MEM 106.566406 1761678253.3967
MEM 106.566406 1761678253.4971
MEM 106.566406 1761678253.5973
MEM 106.566406 1761678253.6977
MEM 106.566406 1761678253.7980
MEM 106.566406 1761678253.8983
MEM 106.566406 1761678253.9986
MEM 106.566406 1761678254.0990
MEM 106.566406 1761678254.1993
MEM 106.566406 1761678254.2996
MEM 106.566406 1761678254.4000
MEM 106.566406 1761678254.5003
MEM 106.566406 1761678254.6006
MEM 106.566406 1761678254.7009
MEM 106.566406 1761678254.8012
MEM 106.566406 1761678254.9015
MEM 106.566406 1761678255.0018
MEM 106.566406 1761678255.1021
MEM 106.566406 1761678255.2024
MEM 106.566406 1761678255.3027
MEM 106.566406 1761678255.4031
MEM 106.566406 1761678255.5034
MEM 106.566406 1761678255.6037
MEM 106.566406 1761678255.7040
MEM 106.566406 1761678255.8043
MEM 106.566406 1761678255.9046
MEM 106.566406 1761678256.0048
MEM 106.566406 1761678256.1051
MEM 106.566406 1761678256.2054
MEM 106.566406 1761678256.3057
MEM 106.566406 1761678256.4060
MEM 106.566406 1761678256.5063
MEM 106.566406 1761678256.6066
MEM 106.566406 1761678256.7069
MEM 106.566406 1761678256.8071
MEM 106.566406 1761678256.9075
MEM 106.566406 1761678257.0078
MEM 106.566406 1761678257.1080
MEM 106.566406 1761678257.2083
MEM 106.566406 1761678257.3086
MEM 106.566406 1761678257.4090
MEM 106.566406 1761678257.5093
MEM 106.566406 1761678257.6095
MEM 106.566406 1761678257.7099
MEM 106.566406 1761678257.8102
MEM 106.566406 1761678257.9105
MEM 106.566406 1761678258.0108
MEM 106.566406 1761678258.1111
MEM 106.566406 1761678258.2114
MEM 106.566406 1761678258.3116
MEM 106.566406 1761678258.4120
MEM 106.566406 1761678258.5123
MEM 106.566406 1761678258.6125
MEM 106.566406 1761678258.7127
MEM 106.691406 1761678258.8131
MEM 106.691406 1761678258.9134
MEM 106.691406 1761678259.0137
MEM 106.691406 1761678259.1140
MEM 106.691406 1761678259.2142
MEM 106.691406 1761678259.3145
MEM 106.691406 1761678259.4148
MEM 106.691406 1761678259.5151
MEM 106.691406 1761678259.6154
MEM 106.691406 1761678259.7157
MEM 106.691406 1761678259.8160
MEM 106.691406 1761678259.9162
MEM 106.691406 1761678260.0165
MEM 106.691406 1761678260.1168
MEM 106.691406 1761678260.2172
MEM 106.691406 1761678260.3175
MEM 106.691406 1761678260.4177
MEM 106.691406 1761678260.5180
MEM 106.691406 1761678260.6183
MEM 106.691406 1761678260.7185
MEM 106.691406 1761678260.8187
MEM 106.691406 1761678260.9190
MEM 106.691406 1761678261.0193
MEM 106.691406 1761678261.1196
MEM 106.691406 1761678261.2199
MEM 106.691406 1761678261.3203
MEM 106.691406 1761678261.4206
MEM 106.691406 1761678261.5209
MEM 106.691406 1761678261.6212
MEM 106.691406 1761678261.7215
MEM 106.691406 1761678261.8219
MEM 106.691406 1761678261.9222
MEM 106.691406 1761678262.0226
MEM 106.691406 1761678262.1228
MEM 106.691406 1761678262.2231
MEM 106.691406 1761678262.3234
MEM 106.691406 1761678262.4237
MEM 106.691406 1761678262.5241
MEM 106.691406 1761678262.6244
MEM 106.691406 1761678262.7247
MEM 106.691406 1761678262.8251
MEM 106.691406 1761678262.9254
MEM 106.691406 1761678263.0257
MEM 103.769531 1761678263.1261
