CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.125000 1761680921.6621
MEM 32.980469 1761680921.7646
MEM 52.335938 1761680921.8649
MEM 69.546875 1761680921.9651
MEM 84.925781 1761680922.0653
MEM 92.230469 1761680922.1656
MEM 97.605469 1761680922.2659
MEM 102.269531 1761680922.3663
MEM 102.894531 1761680922.4666
MEM 103.769531 1761680922.5669
MEM 103.769531 1761680922.6673
MEM 103.769531 1761680922.7676
MEM 103.769531 1761680922.8679
MEM 103.769531 1761680922.9683
MEM 103.769531 1761680923.0686
MEM 103.769531 1761680923.1689
MEM 103.769531 1761680923.2692
MEM 103.769531 1761680923.3695
MEM 103.769531 1761680923.4698
MEM 103.769531 1761680923.5702
MEM 103.769531 1761680923.6705
MEM 103.769531 1761680923.7708
MEM 103.769531 1761680923.8712
MEM 103.769531 1761680923.9715
MEM 103.769531 1761680924.0718
MEM 103.769531 1761680924.1722
MEM 103.769531 1761680924.2725
MEM 103.769531 1761680924.3728
MEM 103.769531 1761680924.4731
MEM 103.769531 1761680924.5735
MEM 103.769531 1761680924.6738
MEM 103.769531 1761680924.7741
MEM 103.769531 1761680924.8744
MEM 103.769531 1761680924.9747
MEM 103.769531 1761680925.0751
MEM 103.769531 1761680925.1754
MEM 103.769531 1761680925.2757
MEM 103.769531 1761680925.3760
MEM 103.769531 1761680925.4765
MEM 103.769531 1761680925.5768
MEM 103.769531 1761680925.6771
MEM 103.769531 1761680925.7773
MEM 103.769531 1761680925.8776
MEM 103.769531 1761680925.9779
MEM 103.769531 1761680926.0782
MEM 103.769531 1761680926.1786
MEM 103.769531 1761680926.2789
MEM 103.894531 1761680926.3792
MEM 103.894531 1761680926.4795
MEM 103.894531 1761680926.5799
MEM 103.894531 1761680926.6801
MEM 103.894531 1761680926.7805
MEM 103.894531 1761680926.8808
MEM 103.894531 1761680926.9811
MEM 103.894531 1761680927.0815
MEM 103.894531 1761680927.1818
MEM 103.894531 1761680927.2820
MEM 103.894531 1761680927.3823
MEM 103.894531 1761680927.4826
MEM 103.894531 1761680927.5829
MEM 104.019531 1761680927.6831
MEM 104.019531 1761680927.7834
MEM 104.019531 1761680927.8837
MEM 104.019531 1761680927.9840
MEM 104.019531 1761680928.0843
MEM 104.019531 1761680928.1846
MEM 104.019531 1761680928.2849
MEM 104.019531 1761680928.3851
MEM 104.019531 1761680928.4855
MEM 104.019531 1761680928.5858
MEM 104.019531 1761680928.6860
MEM 104.019531 1761680928.7863
MEM 104.019531 1761680928.8867
MEM 104.019531 1761680928.9870
MEM 104.019531 1761680929.0873
MEM 104.019531 1761680929.1876
MEM 104.144531 1761680929.2879
MEM 104.144531 1761680929.3882
MEM 104.144531 1761680929.4885
MEM 104.144531 1761680929.5888
MEM 104.144531 1761680929.6891
MEM 104.144531 1761680929.7893
MEM 104.144531 1761680929.8896
MEM 104.144531 1761680929.9899
MEM 104.144531 1761680930.0903
MEM 104.144531 1761680930.1906
MEM 104.144531 1761680930.2909
MEM 104.144531 1761680930.3912
MEM 103.289062 1761680930.4915
