CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.441406 1761765098.1036
MEM 33.050781 1761765098.2054
MEM 52.796875 1761765098.3056
MEM 69.941406 1761765098.4058
MEM 86.089844 1761765098.5061
MEM 92.546875 1761765098.6064
MEM 97.671875 1761765098.7066
MEM 102.464844 1761765098.8068
MEM 103.214844 1761765098.9071
MEM 103.839844 1761765099.0073
MEM 103.839844 1761765099.1075
MEM 103.839844 1761765099.2077
MEM 103.839844 1761765099.3079
MEM 103.839844 1761765099.4081
MEM 103.839844 1761765099.5083
MEM 103.839844 1761765099.6085
MEM 103.839844 1761765099.7087
MEM 103.839844 1761765099.8089
MEM 103.839844 1761765099.9092
MEM 103.839844 1761765100.0094
MEM 103.839844 1761765100.1096
MEM 103.839844 1761765100.2098
MEM 103.839844 1761765100.3100
MEM 103.839844 1761765100.4102
MEM 103.839844 1761765100.5104
MEM 103.839844 1761765100.6106
MEM 103.839844 1761765100.7108
MEM 103.839844 1761765100.8110
MEM 103.839844 1761765100.9113
MEM 103.839844 1761765101.0115
MEM 103.839844 1761765101.1117
MEM 103.839844 1761765101.2119
MEM 103.839844 1761765101.3121
MEM 103.839844 1761765101.4123
MEM 103.839844 1761765101.5125
MEM 103.839844 1761765101.6127
MEM 103.839844 1761765101.7129
MEM 103.839844 1761765101.8131
MEM 103.839844 1761765101.9133
MEM 103.839844 1761765102.0136
MEM 103.839844 1761765102.1138
MEM 103.839844 1761765102.2140
MEM 103.839844 1761765102.3142
MEM 103.839844 1761765102.4144
MEM 103.964844 1761765102.5146
MEM 103.964844 1761765102.6148
MEM 103.964844 1761765102.7151
MEM 103.964844 1761765102.8153
MEM 103.964844 1761765102.9155
MEM 103.964844 1761765103.0157
MEM 103.964844 1761765103.1159
MEM 103.964844 1761765103.2162
MEM 103.964844 1761765103.3164
MEM 103.964844 1761765103.4166
MEM 103.964844 1761765103.5168
MEM 103.964844 1761765103.6170
MEM 103.964844 1761765103.7172
MEM 103.964844 1761765103.8174
MEM 104.089844 1761765103.9176
MEM 104.089844 1761765104.0179
MEM 104.089844 1761765104.1181
MEM 104.089844 1761765104.2183
MEM 104.089844 1761765104.3185
MEM 104.089844 1761765104.4187
MEM 104.089844 1761765104.5189
MEM 104.089844 1761765104.6191
MEM 104.089844 1761765104.7193
MEM 104.089844 1761765104.8195
MEM 104.089844 1761765104.9197
MEM 104.089844 1761765105.0199
MEM 104.089844 1761765105.1202
MEM 104.089844 1761765105.2204
MEM 104.089844 1761765105.3206
MEM 104.089844 1761765105.4208
MEM 104.214844 1761765105.5210
MEM 104.214844 1761765105.6212
MEM 104.214844 1761765105.7214
MEM 104.214844 1761765105.8216
MEM 104.214844 1761765105.9218
MEM 104.214844 1761765106.0221
MEM 104.214844 1761765106.1223
MEM 104.214844 1761765106.2225
MEM 104.214844 1761765106.3227
MEM 104.214844 1761765106.4229
MEM 104.214844 1761765106.5231
MEM 104.214844 1761765106.6234
MEM 104.214844 1761765106.7236
MEM 104.214844 1761765106.8238
MEM 104.214844 1761765106.9241
MEM 104.339844 1761765107.0243
